admin_code;not_null;ipc_1;ipc_2;ipc_3;ipc_4;ipc_5;ipc_2_plus;ipc_3_plus;ipc_4_plus;ipc_1_pct;ipc_2_pct;ipc_3_pct;ipc_4_pct;ipc_5_pct;ipc_2_plus_pct;ipc_3_plus_pct;ipc_4_plus_pct
512;28;11;14;3;;;17;3;0;0.392857143;0.5;0.107142857;0;0;0.607142857;0.107142857;0
513;28;14;9;5;;;14;5;0;0.5;0.321428571;0.178571429;0;0;0.5;0.178571429;0
514;28;;12;15;1;;28;16;1;0;0.428571429;0.535714286;0.035714286;0;1;0.571428571;0.035714286
515;28;12;10;4;2;;16;6;2;0.428571429;0.357142857;0.142857143;0.071428571;0;0.571428571;0.214285714;0.071428571
516;28;;;25;3;;28;28;3;0;0;0.892857143;0.107142857;0;1;1;0.107142857
517;28;15;11;2;;;13;2;0;0.535714286;0.392857143;0.071428571;0;0;0.464285714;0.071428571;0
518;28;13;11;4;;;15;4;0;0.464285714;0.392857143;0.142857143;0;0;0.535714286;0.142857143;0
519;28;1;8;18;1;;27;19;1;0.035714286;0.285714286;0.642857143;0.035714286;0;0.964285714;0.678571429;0.035714286
520;28;9;16;1;2;;19;3;2;0.321428571;0.571428571;0.035714286;0.071428571;0;0.678571429;0.107142857;0.071428571
521;28;11;15;1;1;;17;2;1;0.392857143;0.535714286;0.035714286;0.035714286;0;0.607142857;0.071428571;0.035714286
522;28;20;6;2;;;8;2;0;0.714285714;0.214285714;0.071428571;0;0;0.285714286;0.071428571;0
523;28;20;6;2;;;8;2;0;0.714285714;0.214285714;0.071428571;0;0;0.285714286;0.071428571;0
524;28;14;11;3;;;14;3;0;0.5;0.392857143;0.107142857;0;0;0.5;0.107142857;0
525;28;18;7;3;;;10;3;0;0.642857143;0.25;0.107142857;0;0;0.357142857;0.107142857;0
526;28;19;6;3;;;9;3;0;0.678571429;0.214285714;0.107142857;0;0;0.321428571;0.107142857;0
527;28;14;12;1;1;;14;2;1;0.5;0.428571429;0.035714286;0.035714286;0;0.5;0.071428571;0.035714286
528;28;9;16;3;;;19;3;0;0.321428571;0.571428571;0.107142857;0;0;0.678571429;0.107142857;0
529;28;8;16;3;1;;20;4;1;0.285714286;0.571428571;0.107142857;0.035714286;0;0.714285714;0.142857143;0.035714286
530;28;11;13;3;1;;17;4;1;0.392857143;0.464285714;0.107142857;0.035714286;0;0.607142857;0.142857143;0.035714286
531;28;19;6;3;;;9;3;0;0.678571429;0.214285714;0.107142857;0;0;0.321428571;0.107142857;0
532;28;12;14;2;;;16;2;0;0.428571429;0.5;0.071428571;0;0;0.571428571;0.071428571;0
533;28;1;8;17;2;;27;19;2;0.035714286;0.285714286;0.607142857;0.071428571;0;0.964285714;0.678571429;0.071428571
534;28;;7;19;2;;28;21;2;0;0.25;0.678571429;0.071428571;0;1;0.75;0.071428571
535;28;10;13;5;;;18;5;0;0.357142857;0.464285714;0.178571429;0;0;0.642857143;0.178571429;0
536;28;1;16;10;1;;27;11;1;0.035714286;0.571428571;0.357142857;0.035714286;0;0.964285714;0.392857143;0.035714286
537;28;9;17;2;;;19;2;0;0.321428571;0.607142857;0.071428571;0;0;0.678571429;0.071428571;0
538;28;7;16;5;;;21;5;0;0.25;0.571428571;0.178571429;0;0;0.75;0.178571429;0
539;28;;;25;3;;28;28;3;0;0;0.892857143;0.107142857;0;1;1;0.107142857
540;28;18;8;1;1;;10;2;1;0.642857143;0.285714286;0.035714286;0.035714286;0;0.357142857;0.071428571;0.035714286
541;28;19;6;3;;;9;3;0;0.678571429;0.214285714;0.107142857;0;0;0.321428571;0.107142857;0
542;28;5;16;7;;;23;7;0;0.178571429;0.571428571;0.25;0;0;0.821428571;0.25;0
543;28;7;15;4;2;;21;6;2;0.25;0.535714286;0.142857143;0.071428571;0;0.75;0.214285714;0.071428571
544;28;13;11;4;;;15;4;0;0.464285714;0.392857143;0.142857143;0;0;0.535714286;0.142857143;0
545;28;14;11;3;;;14;3;0;0.5;0.392857143;0.107142857;0;0;0.5;0.107142857;0
546;28;3;21;4;;;25;4;0;0.107142857;0.75;0.142857143;0;0;0.892857143;0.142857143;0
547;28;11;13;4;;;17;4;0;0.392857143;0.464285714;0.142857143;0;0;0.607142857;0.142857143;0
548;28;12;14;2;;;16;2;0;0.428571429;0.5;0.071428571;0;0;0.571428571;0.071428571;0
549;28;8;18;1;1;;20;2;1;0.285714286;0.642857143;0.035714286;0.035714286;0;0.714285714;0.071428571;0.035714286
550;28;19;7;2;;;9;2;0;0.678571429;0.25;0.071428571;0;0;0.321428571;0.071428571;0
551;28;5;20;3;;;23;3;0;0.178571429;0.714285714;0.107142857;0;0;0.821428571;0.107142857;0
552;28;18;9;1;;;10;1;0;0.642857143;0.321428571;0.035714286;0;0;0.357142857;0.035714286;0
553;28;11;14;3;;;17;3;0;0.392857143;0.5;0.107142857;0;0;0.607142857;0.107142857;0
554;28;14;10;4;;;14;4;0;0.5;0.357142857;0.142857143;0;0;0.5;0.142857143;0
555;28;15;11;2;;;13;2;0;0.535714286;0.392857143;0.071428571;0;0;0.464285714;0.071428571;0
556;28;18;10;;;;10;0;0;0.642857143;0.357142857;0;0;0;0.357142857;0;0
557;28;10;10;8;;;18;8;0;0.357142857;0.357142857;0.285714286;0;0;0.642857143;0.285714286;0
558;28;;;25;3;;28;28;3;0;0;0.892857143;0.107142857;0;1;1;0.107142857
559;28;14;14;;;;14;0;0;0.5;0.5;0;0;0;0.5;0;0
560;28;12;7;9;;;16;9;0;0.428571429;0.25;0.321428571;0;0;0.571428571;0.321428571;0
561;28;14;8;6;;;14;6;0;0.5;0.285714286;0.214285714;0;0;0.5;0.214285714;0
562;28;;14;14;;;28;14;0;0;0.5;0.5;0;0;1;0.5;0
563;28;1;5;21;1;;27;22;1;0.035714286;0.178571429;0.75;0.035714286;0;0.964285714;0.785714286;0.035714286
564;28;18;8;2;;;10;2;0;0.642857143;0.285714286;0.071428571;0;0;0.357142857;0.071428571;0
565;28;13;8;7;;;15;7;0;0.464285714;0.285714286;0.25;0;0;0.535714286;0.25;0
